filename, language, Markdown, JSON, HTML, JavaScript, CSS, JavaScript React, comment, blank, total
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\README.md, Markdown, 37, 0, 0, 0, 0, 0, 0, 32, 69
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\package-lock.json, JSON, 0, 14176, 0, 0, 0, 0, 0, 1, 14177
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\package.json, JSON, 0, 54, 0, 0, 0, 0, 0, 1, 55
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\public\index.html, HTML, 0, 0, 25, 0, 0, 0, 23, 1, 49
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\public\manifest.json, JSON, 0, 25, 0, 0, 0, 0, 0, 1, 26
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\App.css, CSS, 0, 0, 0, 0, 18, 0, 0, 1, 19
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\App.js, JavaScript, 0, 0, 0, 45, 0, 0, 0, 3, 48
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\actions\examActions.js, JavaScript, 0, 0, 0, 44, 0, 0, 2, 1, 47
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\actions\index.js, JavaScript, 0, 0, 0, 46, 0, 0, 3, 4, 53
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\actions\tableActions.js, JavaScript, 0, 0, 0, 44, 0, 0, 0, 2, 46
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\Help.jsx, JavaScript React, 0, 0, 0, 0, 0, 111, 0, 2, 113
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\HelpButton.jsx, JavaScript React, 0, 0, 0, 0, 0, 18, 0, 1, 19
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\MainPage.jsx, JavaScript React, 0, 0, 0, 0, 0, 183, 1, 7, 191
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\Modal.js, JavaScript, 0, 0, 0, 18, 0, 0, 0, 3, 21
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\MyAccordion.jsx, JavaScript React, 0, 0, 0, 0, 0, 35, 0, 6, 41
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\MyMenuBar.jsx, JavaScript React, 0, 0, 0, 0, 0, 77, 0, 1, 78
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\SearchBar.js, JavaScript, 0, 0, 0, 25, 0, 0, 0, 5, 30
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\exams\CreateExamForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 338, 7, 8, 353
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\exams\DeleteExam.js, JavaScript, 0, 0, 0, 62, 0, 0, 0, 9, 71
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\exams\EditExamForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 334, 11, 8, 353
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\exams\Exam.jsx, JavaScript React, 0, 0, 0, 0, 0, 132, 2, 11, 145
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\exams\ExamList.jsx, JavaScript React, 0, 0, 0, 0, 0, 141, 17, 11, 169
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\CreateHomeworkForm.jsx, JavaScript React, 0, 0, 0, 0, 0, 163, 4, 8, 175
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\DeleteTask.js, JavaScript, 0, 0, 0, 59, 0, 0, 0, 8, 67
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\EditHomework.jsx, JavaScript React, 0, 0, 0, 0, 0, 184, 4, 8, 196
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\Homework.jsx, JavaScript React, 0, 0, 0, 0, 0, 89, 5, 10, 104
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\HomeworkCard.jsx, JavaScript React, 0, 0, 0, 0, 0, 52, 0, 3, 55
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\homeworks\HomeworkList.jsx, JavaScript React, 0, 0, 0, 0, 0, 76, 0, 9, 85
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\timetable\DoubleClickInput.jsx, JavaScript React, 0, 0, 0, 0, 0, 68, 0, 3, 71
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\components\timetable\Table.jsx, JavaScript React, 0, 0, 0, 0, 0, 261, 4, 7, 272
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\helpers\index.js, JavaScript, 0, 0, 0, 94, 0, 0, 0, 3, 97
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\history.js, JavaScript, 0, 0, 0, 2, 0, 0, 0, 2, 4
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\index.js, JavaScript, 0, 0, 0, 25, 0, 0, 0, 4, 29
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\reducers\examsReducer.js, JavaScript, 0, 0, 0, 75, 0, 0, 16, 2, 93
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\reducers\index.js, JavaScript, 0, 0, 0, 5, 0, 0, 0, 3, 8
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\reducers\tableReducer.js, JavaScript, 0, 0, 0, 51, 0, 0, 0, 6, 57
c:\Users\jregi\Desktop\Projektkurs\todosample_lernplaner\src\reducers\tasksReducer.js, JavaScript, 0, 0, 0, 74, 0, 0, 3, 4, 81
Total, -, 37, 14255, 25, 669, 18, 2262, 102, 199, 17567
